,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,Principal Component 16,Principal Component 17,Principal Component 18,Principal Component 19,Principal Component 20,Principal Component 21,Principal Component 22,Principal Component 23,Principal Component 24,Principal Component 25,Principal Component 26,Principal Component 27,Principal Component 28,Principal Component 29,Principal Component 30,Principal Component 31,Principal Component 32,Principal Component 33,Principal Component 34,Principal Component 35,Principal Component 36,Principal Component 37,Principal Component 38,Principal Component 39,Principal Component 40,Principal Component 41,Principal Component 42,Principal Component 43,Principal Component 44,Principal Component 45,Principal Component 46,Principal Component 47,Principal Component 48,Principal Component 49,Principal Component 50,Principal Component 51,Principal Component 52,Principal Component 53,Principal Component 54,Principal Component 55,Principal Component 56,Principal Component 57,Principal Component 58,Principal Component 59,Principal Component 60,Principal Component 61,Principal Component 62,Principal Component 63,Principal Component 64,Principal Component 65,Principal Component 66,Principal Component 67,Principal Component 68,Principal Component 69,Principal Component 70,Principal Component 71,Principal Component 72,Principal Component 73,Principal Component 74,Principal Component 75,Principal Component 76,Principal Component 77,Principal Component 78,Principal Component 79,Principal Component 80,Principal Component 81,Principal Component 82,Principal Component 83,Principal Component 84,Principal Component 85,Principal Component 86,Principal Component 87,Principal Component 88,Principal Component 89,Principal Component 90,Principal Component 91,Principal Component 92,Principal Component 93,Principal Component 94,Principal Component 95,Principal Component 96,Principal Component 97,Principal Component 98,Principal Component 99,Principal Component 100,Principal Component 101,Principal Component 102,Principal Component 103,Principal Component 104,Principal Component 105,Principal Component 106,Principal Component 107,Principal Component 108,Principal Component 109,Principal Component 110,Principal Component 111,Principal Component 112,Principal Component 113,Principal Component 114,Principal Component 115,Principal Component 116,Principal Component 117,Principal Component 118,Principal Component 119,Principal Component 120,Principal Component 121,Principal Component 122,Principal Component 123,Principal Component 124,Principal Component 125,Principal Component 126,Principal Component 127,Principal Component 128,Principal Component 129,Principal Component 130,Principal Component 131,Principal Component 132,Principal Component 133,Principal Component 134,Principal Component 135,Principal Component 136,Principal Component 137,Principal Component 138,Principal Component 139,Principal Component 140,Principal Component 141,Principal Component 142,Principal Component 143,Principal Component 144,Principal Component 145,Principal Component 146,Principal Component 147,Principal Component 148,Principal Component 149,Principal Component 150,Principal Component 151,Principal Component 152,Principal Component 153,Principal Component 154,Principal Component 155,Principal Component 156,Principal Component 157,Principal Component 158,Principal Component 159,Principal Component 160,Principal Component 161,Principal Component 162,Principal Component 163,Principal Component 164,Principal Component 165,Principal Component 166,Principal Component 167,Principal Component 168,Principal Component 169,Principal Component 170,Principal Component 171,Principal Component 172,Principal Component 173,Principal Component 174,Principal Component 175,Principal Component 176,Principal Component 177,Principal Component 178,Principal Component 179,Principal Component 180,Principal Component 181,Principal Component 182,Principal Component 183,Principal Component 184,Principal Component 185,Principal Component 186,Principal Component 187,Principal Component 188,Principal Component 189,Principal Component 190
Landmark 1,-0.06625033,0.025384035,0.072296498,0.026442066,-0.005467634,0.001698991,-0.020456864,-0.017354656,0.02556938,0.011391458,0.03985796,-0.045442991,0.017591916,0.001440757,0.008952104,0.008576058,-0.005767129,-0.018014713,0.018126956,0.009437607,-0.014232193,0.007456686,-0.03348855,-0.008601599,0.019569716,0.006836426,-0.003190541,0.01084731,-0.001557703,0.030712186,0.022203729,-0.015740827,0.036261972,0.014763483,-0.02036364,0.013340336,0.028177851,0.004062917,0.009202473,-0.002713055,0.007033558,0.003510001,0.01693958,0.017560702,-0.004197586,0.017781033,0.017971343,-0.007530336,0.012697091,0.01254982,-0.019823479,-0.002188186,-0.007475121,0.010846573,0.015174885,0.003269723,0.01547106,0.017118107,-0.034542337,0.003835651,0.008923587,-0.008341739,-0.017359574,-0.010145543,0.009941931,0.017028022,-0.001451509,-0.015578358,0.004208969,-0.010670567,0.007587704,0.000414235,-0.010280359,0.000504406,-0.007476696,-0.002778181,-0.013598728,-0.005317455,0.003812647,0.006109336,-0.006216146,-0.010537756,-0.008743091,0.00749354,-0.007740068,0.005276429,-0.017686172,0.008900942,0.006462831,-0.015641564,0.003107805,-0.012359342,0.022612813,-0.018534767,0.009914135,-0.005295539,-0.022272272,-0.011362492,0.01007431,0.009705062,0.000498929,0.004824077,0.023009612,-0.024804809,-0.001247196,-0.019981424,-0.004729261,0.025026374,-0.018099216,0.01544252,-0.025097943,0.011594492,0.008697372,0.017137593,0.038178061,0.050739157,0.025412724,-0.004737927,0.000127751,-0.010422525,-0.008590968,-0.011579902,-0.005600613,-0.010676503,-0.00331202,-0.029840914,-0.007338179,0.023685988,0.032426281,-0.007561675,-0.037324458,-0.00422255,0.002749151,-0.004860869,0.009965585,0.002814301,0.005266077,-0.036939073,-0.022985466,-0.045819014,0.017652517,0.01053602,0.013912901,1.79E-05,-0.005059834,-0.00222607,-0.006115816,0.007348692,-0.000121313,0.003842542,-0.012399501,-0.006070436,0.016170859,-0.008575394,-0.002919801,-0.004328204,-0.002525741,0.005878772,-0.003828133,-0.006833384,-0.002397903,-0.015307358,-0.01154115,-0.003690109,0.004447007,-0.015083113,0.01134798,0.005463382,-0.010783853,-0.005901702,0.007192261,0.002455721,0.012099009,0.006262348,-0.026219507,0.00555106,0.022025016,-0.00350855,0.023198195,-0.018653456,0.00137768,0.011730592,-0.004605672,-0.022206772,0.010116709,0.005802428,0.009505763,-0.008220636,-0.000895971,-0.003401563
Landmark 2,-0.066612491,0.025608378,0.072333518,0.025830851,-0.003819058,0.002781133,-0.020422184,-0.019153824,0.024970922,0.013269984,0.039276988,-0.043355177,0.018884519,0.003446093,0.011398687,0.007559566,-0.000373133,-0.015762981,0.016802362,0.007464812,-0.003180183,0.005301913,-0.028158201,-0.010683068,0.018017784,0.005037997,0.001258278,0.014617642,-0.003199475,0.027525728,0.018684091,-0.010475631,0.0276364,0.010134534,-0.019678639,0.009863561,0.020455661,0.009078235,0.007812743,-0.000706802,0.006089149,-9.63E-05,0.014234019,0.019419693,-0.005325086,0.018521204,0.018275535,-0.006541788,0.018922442,0.009355429,-0.019095603,-0.001364472,-0.008157164,0.00522456,0.013067273,0.00050021,0.01641587,0.016836898,-0.034385585,0.008212249,0.012514267,-0.013437704,-0.021860082,-0.012407504,0.011214098,0.01966612,-0.003773847,-0.013911035,0.001600706,-0.004026415,0.001806339,-0.002292291,-0.006087476,0.001682462,-0.004166228,-0.004112364,-0.017693329,-0.004164907,0.001724829,0.005130444,-0.003904213,-0.012675935,-0.008272577,0.004493241,-0.010032639,0.007920294,-0.016180413,0.009962724,0.009847592,-0.013211322,0.001788415,-0.010740719,0.024537999,-0.017769249,0.010987677,-0.005238567,-0.023924919,-0.015884974,0.010200299,0.008277785,-0.005212027,0.005073439,0.019167741,-0.027030313,-0.000701953,-0.019653593,-0.005712792,0.027411792,-0.018117764,0.020281943,-0.026354948,0.014913129,0.0093035,0.021824943,0.03988041,0.054726902,0.03064986,-0.001772343,0.001240245,-0.008798496,-0.015080172,-0.015863793,-0.004545883,-0.007077208,-0.005144774,-0.034554572,-0.009982442,0.023359934,0.036633374,-0.007878737,-0.04181262,-0.011079641,0.004510175,-0.000915775,0.008579641,0.002053124,0.006538377,-0.041483413,-0.025695582,-0.049634607,0.019228192,0.012458201,0.012968798,0.001082522,-0.002984296,-0.002786493,-0.010576703,0.004921904,-0.003337198,0.002580241,-0.014970982,-0.001779175,0.01597042,-0.009234152,-0.004765114,-0.001423824,-0.006759439,0.002480932,-0.001158569,-0.007143614,-0.000892634,-0.015626843,-0.011014536,0.001350354,0.002869609,-0.017311764,0.007702366,0.002195654,-0.012777129,-0.006377476,0.008578461,0.004330783,0.011061735,0.005956719,-0.026266871,0.011153425,0.024964778,-0.003791872,0.022833153,-0.01730158,-0.001599669,0.011752951,-0.003722809,-0.023931424,0.010021629,0.007300325,0.010695409,-0.008065791,0.000781454,-0.005485643
Landmark 3,-0.066822224,0.025500238,0.072062296,0.024997908,-0.001241575,0.004810404,-0.02013184,-0.021346348,0.024233272,0.016206828,0.038422263,-0.04020303,0.021288393,0.005662897,0.014807309,0.005137733,0.005170182,-0.01446863,0.014299179,0.005118471,0.009517262,0.002664995,-0.020636956,-0.012570822,0.016033052,0.002449279,0.007019209,0.019421726,-0.005508428,0.022118277,0.012760755,-0.004545132,0.016938893,0.003846503,-0.018771613,0.00541896,0.010347901,0.015214693,0.00671027,0.001228947,0.005325302,-0.004370998,0.01100005,0.021860878,-0.006446606,0.018462581,0.017496846,-0.003728195,0.024566437,0.004752228,-0.01702641,-0.000488792,-0.008942578,-0.002811152,0.01031605,-0.003584987,0.015169852,0.014928041,-0.032782103,0.012542778,0.016655552,-0.018498373,-0.025684094,-0.013867338,0.011103624,0.022613579,-0.007155335,-0.011943129,-0.002601934,0.002963985,-0.004799675,-0.005734606,-0.002038876,0.00258994,-0.000185493,-0.00492972,-0.021156937,-0.002448364,-0.000885202,0.002235687,0.000108545,-0.013535138,-0.006214813,0.000987874,-0.012135318,0.011126781,-0.01478806,0.009831243,0.014401969,-0.009832387,-0.000595665,-0.007658345,0.026231703,-0.016014026,0.012244881,-0.00484086,-0.025609505,-0.01941684,0.009211992,0.007023678,-0.009509326,0.005121242,0.015788017,-0.028856655,-0.000580497,-0.020804018,-0.006397322,0.02680365,-0.01676585,0.021952918,-0.024775539,0.016622983,0.007897446,0.025710462,0.037700705,0.054404867,0.034793131,0.001001385,0.003321855,-0.00645202,-0.020948426,-0.019717876,-0.004233633,-0.002198181,-0.006380993,-0.036071143,-0.011187142,0.022325089,0.037841774,-0.007588821,-0.043011199,-0.017826919,0.005190912,0.002682342,0.006811076,0.001720741,0.00900555,-0.04406811,-0.02683002,-0.050573669,0.021791554,0.013171654,0.012130659,0.000708246,-0.001369079,-0.001937179,-0.016001874,0.002852109,-0.006566012,0.000966875,-0.019058599,0.003247335,0.016126068,-0.008961194,-0.006550412,2.15E-05,-0.01029879,-0.000634983,0.001587545,-0.005075262,0.001324122,-0.016122254,-0.010859047,0.006333756,3.45E-05,-0.017909679,0.001603135,-0.001782822,-0.014380559,-0.005449481,0.010944327,0.00575387,0.009812368,0.005140051,-0.025835674,0.018494708,0.029085317,-0.002337051,0.022211262,-0.015288708,-0.005867705,0.011095641,-0.00257591,-0.026685997,0.008471815,0.008805243,0.012066842,-0.007178465,0.002462712,-0.006753882
Landmark 4,-0.067260371,0.025606239,0.072502456,0.024779346,0.000421406,0.006051582,-0.020024202,-0.022278159,0.022229719,0.017312139,0.035467328,-0.035723209,0.021583106,0.006257909,0.014575823,0.003081962,0.007338863,-0.012602833,0.011613946,0.002608057,0.016526349,0.001964461,-0.014413483,-0.012303161,0.014497917,0.000284522,0.011664096,0.023407412,-0.007699413,0.015096922,0.00664001,-0.000314685,0.007025,1.35E-05,-0.018138114,0.002158489,0.001690732,0.018604472,0.004807033,0.003433763,0.005517681,-0.006660825,0.009028236,0.021993197,-0.006594206,0.016288065,0.014945538,-0.000463315,0.02706331,-0.000430096,-0.012641569,-1.19E-05,-0.010979014,-0.009577144,0.007856948,-0.006830036,0.010729946,0.011035154,-0.028948148,0.015166951,0.018094842,-0.021419498,-0.02613811,-0.011889097,0.009212123,0.023286615,-0.010453857,-0.009901846,-0.006568488,0.00895409,-0.010506193,-0.007456261,-0.000706642,0.003002731,0.003861834,-0.004526965,-0.022566496,-0.000547077,-0.003497877,-0.001422815,0.003224098,-0.012046685,-0.003030089,-0.000528357,-0.014122026,0.013359436,-0.011527723,0.008186081,0.017619684,-0.005396991,-0.00258498,-0.003183659,0.026077608,-0.013727464,0.012617592,-0.005150242,-0.024369988,-0.018818764,0.008158834,0.005534005,-0.010148034,0.004381875,0.012946778,-0.02712945,-0.001644243,-0.019103853,-0.007467178,0.022197029,-0.01401575,0.02012893,-0.020457349,0.014786589,0.004945365,0.024430428,0.031631834,0.04724816,0.034260542,0.003015752,0.005039081,-0.00467433,-0.021555035,-0.021763561,-0.002988242,0.001521398,-0.00574263,-0.032487518,-0.010020652,0.019080726,0.033649418,-0.005435532,-0.037035456,-0.020713843,0.003394081,0.004829106,0.003879615,0.001387715,0.01214835,-0.041365323,-0.02600513,-0.047869318,0.023962216,0.013459586,0.011308674,-0.000459984,-0.001893999,-0.000752814,-0.018463555,0.001219032,-0.008544793,0.001958243,-0.020626527,0.00642908,0.016568053,-0.008684542,-0.007514654,-0.000521719,-0.012401326,-0.002056585,0.004123889,-0.003642462,0.003529637,-0.016146142,-0.01034094,0.009581388,-0.002053808,-0.015033375,-0.003466405,-0.004057868,-0.012464802,-0.002178016,0.01249006,0.007583337,0.008837579,0.002377386,-0.023909819,0.022373854,0.032829412,0.001236307,0.020834151,-0.014905888,-0.009721063,0.009911127,-0.001371473,-0.029192851,0.004499043,0.011752336,0.013799955,-0.006476508,0.002742635,-0.007920577
Landmark 5,-0.068426851,0.026972272,0.073409608,0.024960478,0.002370145,0.007363433,-0.020070777,-0.022635428,0.016940198,0.017763192,0.027593086,-0.02799808,0.017283683,0.004909023,0.00920406,0.001819958,0.005718357,-0.008100825,0.008501143,6.06E-05,0.018600473,0.001822283,-0.009820782,-0.010778413,0.012579832,-0.001459666,0.014449882,0.024209828,-0.008607274,0.00603373,0.001762778,0.001795825,-0.00124135,-0.002012993,-0.016498582,0.000640845,-0.004481995,0.017320525,0.001292651,0.006241393,0.005791718,-0.007082295,0.007116991,0.019029476,-0.005744043,0.011719425,0.011413857,0.001949352,0.025869344,-0.005459122,-0.007038553,0.00077424,-0.011788259,-0.012513097,0.006015713,-0.007718575,0.005352302,0.006568338,-0.022679909,0.015100637,0.017354137,-0.021408362,-0.023890893,-0.008699208,0.004964231,0.020836104,-0.011733743,-0.007051088,-0.009276928,0.014435802,-0.014482841,-0.007809223,2.68E-06,0.002393022,0.006926721,-0.003400314,-0.021827851,0.001852396,-0.005068584,-0.004583109,0.004789091,-0.009540718,-0.000864876,-0.000502998,-0.015080763,0.012530738,-0.005145336,0.005629335,0.018212703,-0.000615894,-0.004014353,0.002478485,0.021867931,-0.009530218,0.011357791,-0.005076555,-0.019009413,-0.01530927,0.007599391,0.004161035,-0.010110788,0.00346538,0.008966061,-0.021033903,-0.002393363,-0.012512993,-0.007063992,0.015481686,-0.010014205,0.017323119,-0.015131156,0.009989009,0.002418188,0.019286956,0.023653345,0.036173986,0.02976027,0.00447348,0.005238961,-0.003349497,-0.01861122,-0.022042752,0.000514206,0.003204793,-0.00386452,-0.027148839,-0.008386155,0.015362188,0.026699649,-0.001894837,-0.026692418,-0.02025488,0.000124695,0.005354415,0.001298492,0.001611701,0.014178334,-0.03461877,-0.023445538,-0.041679121,0.022375173,0.012311699,0.00986564,-0.000786003,-0.003797741,-0.002380627,-0.016913349,-0.001634151,-0.009087526,0.003765605,-0.018008734,0.007850295,0.014911694,-0.008733182,-0.007923465,-0.001419457,-0.011439471,-0.001938831,0.006475178,-0.002605435,0.006658644,-0.014380296,-0.00845484,0.010849521,-0.002287753,-0.008968948,-0.00604763,-0.005464401,-0.007930825,0.001758819,0.011580501,0.01030432,0.007185911,-3.82E-05,-0.019290823,0.02091263,0.031592293,0.003592443,0.017895226,-0.015287899,-0.010711048,0.006470885,0.001751382,-0.027584752,-0.001630141,0.0145663,0.014352909,-0.00556667,0.003190841,-0.008977826
Landmark 6,-0.069660256,0.028456982,0.074079195,0.025173062,0.004496799,0.008694424,-0.020352004,-0.023338522,0.009151511,0.019452333,0.016555913,-0.018464852,0.011194244,0.004203744,0.00171926,0.001540167,0.00214999,-0.003288502,0.005541654,-0.001649788,0.018663875,-8.27E-05,-0.005117773,-0.009646348,0.009449674,-0.003816003,0.01655032,0.022521501,-0.008329731,-0.002736745,-0.002010423,0.002632568,-0.007385421,-0.00411614,-0.014490323,0.000240094,-0.007843833,0.012563871,-0.002006968,0.008114019,0.004674983,-0.006369788,0.004902614,0.015630451,-0.005282143,0.00643788,0.008130011,0.002681456,0.021403396,-0.008119108,-0.001251793,0.002006899,-0.010403479,-0.01069677,0.004736343,-0.00605367,0.001132546,0.002378283,-0.015408797,0.012034493,0.014355428,-0.018620383,-0.018495049,-0.006864381,-0.000101246,0.015166336,-0.010820283,-0.004334395,-0.009686012,0.016420316,-0.015299326,-0.005880196,0.000854395,0.001129731,0.007874937,-0.001848471,-0.018737163,0.004077325,-0.005377526,-0.007514552,0.005692211,-0.006976314,7.41E-07,-0.000123246,-0.014059236,0.009603561,0.001534559,0.002347552,0.016424433,0.003037498,-0.005087285,0.006677445,0.014854495,-0.004903321,0.008516395,-0.004436031,-0.012396559,-0.011191443,0.006258429,0.003323826,-0.008574134,0.004119114,0.005269582,-0.012970031,-0.002455272,-0.004758617,-0.00589041,0.007732635,-0.005884277,0.015216401,-0.009232229,0.003006372,0.000928976,0.013074924,0.016036448,0.024544235,0.022586182,0.005213784,0.004074812,-0.003374659,-0.013821216,-0.019887075,0.003112565,0.003173568,-0.00035654,-0.021109553,-0.006776529,0.011870537,0.019912777,0.002467132,-0.015864933,-0.017892851,-0.00277055,0.004859654,-0.000286316,0.002014358,0.012960726,-0.026081701,-0.019662345,-0.032877037,0.017256922,0.009234675,0.008598082,0.000374237,-0.004518737,-0.005353534,-0.013076465,-0.005003157,-0.007664323,0.003112385,-0.01354985,0.008053705,0.010765341,-0.008036234,-0.007358782,-0.00212026,-0.009268368,-0.000141057,0.007293369,-0.001389337,0.008930284,-0.010188846,-0.005954475,0.010117242,-0.002045533,-0.002247133,-0.006908194,-0.006410881,-0.003968763,0.00535563,0.008397911,0.010830411,0.004642735,-0.000157452,-0.011959221,0.017045609,0.025263597,0.004434557,0.013172502,-0.014219093,-0.008385874,0.002166478,0.00551865,-0.022604586,-0.0063511,0.014027627,0.011817083,-0.004481369,0.00330039,-0.007752083
Landmark 7,-0.070404985,0.030066592,0.073913688,0.02462207,0.007152344,0.010952096,-0.020478858,-0.024855117,0.000611863,0.023773143,0.004994022,-0.009494318,0.005256428,0.00435353,-0.0041466,0.001491416,-0.002470714,-0.000432257,0.001806522,-0.002258846,0.018215643,-0.004612053,-0.000217711,-0.010007621,0.004975135,-0.006025661,0.018167517,0.020226742,-0.007355272,-0.008386654,-0.003472432,0.00307175,-0.011491874,-0.005694038,-0.011771721,0.000693202,-0.009198636,0.005932556,-0.004021092,0.009062223,0.003822321,-0.004185368,0.003931254,0.012981728,-0.005196114,0.001723679,0.004426528,0.002535203,0.013743183,-0.008185329,0.003833508,0.002628557,-0.007212717,-0.005057896,0.003963262,-0.003400311,-0.002154958,-0.001170077,-0.008681669,0.006605587,0.008873852,-0.014572123,-0.010943043,-0.006760904,-0.003279554,0.007627843,-0.009074148,-0.001354514,-0.008676423,0.014637924,-0.014222992,-0.00225656,0.002242452,-0.000332768,0.007973809,-0.000414306,-0.012003973,0.005243869,-0.004363589,-0.009705425,0.006811858,-0.004062871,0.000229615,7.94E-05,-0.01113915,0.005637252,0.00579875,0.000953082,0.012921815,0.004005315,-0.005522914,0.007915064,0.007911887,-0.001753463,0.006185833,-0.003653136,-0.005704223,-0.006971788,0.003181131,0.004082107,-0.006499198,0.006333933,0.003714345,-0.005455103,-0.001875156,0.001126338,-0.003517098,0.000190443,-0.002329674,0.012498324,-0.004647976,-0.003545912,0.000526611,0.007401201,0.010286964,0.01383583,0.0139578,0.004124946,0.002104243,-0.004585688,-0.006996962,-0.014833202,0.004479299,0.001864795,0.003785058,-0.013498881,-0.004891525,0.008273762,0.013534737,0.007494877,-0.005914523,-0.012994775,-0.004694772,0.004767678,-0.001103881,0.001559899,0.009667791,-0.016949543,-0.014731908,-0.022823631,0.010701012,0.004585735,0.007795696,0.002137641,-0.003825861,-0.007873687,-0.008172895,-0.007111728,-0.005676346,0.000158677,-0.008216673,0.0078439,0.005658598,-0.005633451,-0.005560517,-0.003698654,-0.007442039,0.001437023,0.007027046,0.000184154,0.010151053,-0.005875545,-0.003454441,0.008005965,-0.002278822,0.003069483,-0.006571364,-0.005964997,-0.00266753,0.007626755,0.005503577,0.008349607,0.003663559,0.00073708,-0.004151274,0.009576826,0.017401084,0.004367721,0.007517028,-0.012414693,-0.004063965,-0.000817967,0.009126542,-0.015852923,-0.009223622,0.009953644,0.006540985,-0.003326862,0.002037064,-0.005062818
Landmark 8,-0.070587012,0.030879335,0.07349622,0.024009065,0.008876543,0.012687454,-0.020311162,-0.025951072,-0.005227314,0.0278078,-0.003313855,-0.00372125,0.001757886,0.004721528,-0.008429999,0.001078441,-0.007183473,-0.000326134,-0.000629571,-0.001961525,0.016421499,-0.009275805,0.004306091,-0.010552445,0.001825994,-0.007089715,0.019231898,0.018281047,-0.006263025,-0.011237106,-0.003986141,0.00228057,-0.01206748,-0.005999144,-0.008952937,0.001441644,-0.008858936,-6.06E-06,-0.003772978,0.009400887,0.003633094,-0.000599421,0.005036589,0.011041761,-0.005399135,-0.001723654,0.001503309,0.002351396,0.005270142,-0.00648241,0.006449182,0.002848195,-0.003885678,0.000376171,0.003242904,-0.00135698,-0.004854813,-0.002971457,-0.003722364,0.000905926,0.003255134,-0.010260146,-0.003001279,-0.006203692,-0.004221743,0.001527291,-0.007142941,0.000750628,-0.008641407,0.011865959,-0.01273789,-0.000487603,0.001776181,-0.001270368,0.007099036,0.001167845,-0.005246845,0.005507516,-0.003185619,-0.010844164,0.007196724,-0.000347708,0.000950124,0.000450643,-0.007054884,0.001799616,0.007359363,0.000301716,0.009037086,0.004053813,-0.005329468,0.007986633,0.002404671,-0.000139577,0.005066343,-0.002415981,-0.001126269,-0.003477886,0.000461018,0.005035314,-0.003841914,0.006008941,0.003170655,-0.000411659,-0.001367051,0.003395061,0.000169104,-0.005300207,0.000253544,0.008502509,-0.001138647,-0.007700575,0.000548406,0.00253003,0.006927581,0.004217759,0.006006152,0.001264688,0.000327344,-0.004357783,-0.000577915,-0.010149652,0.00443422,0.00162803,0.006080065,-0.005651509,-0.002770593,0.004701326,0.006803223,0.01014948,0.001766302,-0.007841821,-0.004812916,0.004896988,-0.001481208,0.001146251,0.006084186,-0.009657914,-0.009033193,-0.014040979,0.006186868,0.000360212,0.007445638,0.002248539,-0.002787805,-0.007457534,-0.004058363,-0.006775942,-0.003270122,-0.001684152,-0.00362415,0.007289939,0.001447304,-0.002867584,-0.00303301,-0.005419667,-0.005720365,0.001765959,0.005417388,0.001663929,0.009808092,-0.003771356,-0.002106912,0.005910366,-0.002755361,0.005904585,-0.005090134,-0.004063509,-0.001661685,0.007986338,0.004261818,0.004396696,0.004128262,0.000791269,0.000551258,0.001798745,0.01097842,0.00484734,0.00395616,-0.009846822,-0.000267143,-0.001881531,0.009529912,-0.00944398,-0.010236865,0.006455004,0.002600148,-0.001576411,0.000962535,-0.001752534
Landmark 9,-0.070545773,0.031376976,0.073240378,0.023784004,0.009330243,0.012921798,-0.020213231,-0.02608963,-0.006912732,0.028590335,-0.006097776,-0.001616658,0.000560845,0.005084685,-0.010368224,0.000723901,-0.008505093,3.16E-06,-0.001071863,-0.0021621,0.016761807,-0.011045244,0.006020053,-0.010428029,0.001186083,-0.007241178,0.019739533,0.017809865,-0.006398466,-0.012675913,-0.004421284,0.001794221,-0.012694365,-0.005678332,-0.007515135,0.001920502,-0.009079013,-0.001901664,-0.003603814,0.00970471,0.002683777,0.000567976,0.005151107,0.010195739,-0.004643023,-0.004027638,-0.000505818,0.00278595,0.001171755,-0.005863393,0.007586096,0.002219468,-0.002522973,0.002473104,0.002832996,-0.000169502,-0.006415712,-0.003490838,-0.001236598,-0.001900174,0.001397032,-0.008823064,0.00122879,-0.005352098,-0.005436799,-0.00180312,-0.006038193,0.001926674,-0.008456998,0.01121203,-0.012046543,-0.000455361,0.001666071,-0.001335082,0.006690175,0.002948018,-0.001646606,0.005682642,-0.00323347,-0.010990799,0.00696099,0.002076133,0.002017122,0.000127576,-0.004874819,0.000623281,0.008241918,-0.000421231,0.0072968,0.004660362,-0.004617707,0.00899488,-0.00017979,0.001115797,0.004191467,-0.001390432,0.000397471,-0.001136156,-0.000208763,0.004958828,-0.001418367,0.005121591,0.002608165,0.001949395,-0.001931106,0.003454059,0.003062833,-0.009394597,0.002188233,0.004014318,0.00268447,-0.00956275,-0.000724339,-0.001552223,0.00164674,-0.003848243,0.001016196,-0.000112227,0.000612783,-0.00262423,0.003521861,-0.007326288,0.003612324,0.002691168,0.006759207,0.000908086,-0.00107918,0.00316437,0.000179108,0.010370586,0.007987631,-0.004409646,-0.004489849,0.004160425,-0.001995788,0.001423413,0.004187973,-0.003677068,-0.005055971,-0.0065564,0.005341399,-0.002932694,0.006704336,0.001616756,-0.003025933,-0.005801874,-0.001965402,-0.006057995,-0.001175783,-0.002280665,-0.001595508,0.006592061,-0.000673703,-0.000546881,-0.000920159,-0.007417177,-0.004506548,0.002250946,0.004856471,0.003234641,0.009425579,-0.002430504,-0.002270307,0.005369723,-0.004100477,0.007683065,-0.005200898,-0.003714015,-0.000626053,0.008224092,0.004042736,0.003011152,0.004230825,0.000408163,0.003047636,-0.000998902,0.008839406,0.005126428,0.002604624,-0.008300751,0.001939506,-0.002890263,0.009546286,-0.00792972,-0.01000302,0.005342861,0.000768274,-0.000704074,0.001339005,0.000840163
Landmark 10,-0.070582922,0.031567996,0.07272467,0.023603081,0.010117143,0.013212163,-0.020038897,-0.02599151,-0.008427911,0.028054175,-0.007946776,0.000400735,-0.000911371,0.003881489,-0.011246175,0.000216675,-0.009239132,0.001410374,-0.0012966,-0.002616569,0.015368138,-0.010096713,0.006296154,-0.008656652,0.001748328,-0.007152038,0.020115553,0.016946242,-0.006418811,-0.014802144,-0.004877099,0.001979839,-0.013053668,-0.006348839,-0.007831918,0.002140938,-0.009502786,-0.002466354,-0.004761599,0.010834634,0.001979444,-0.000153519,0.003895974,0.009250967,-0.003815724,-0.006945606,-0.003484131,0.005083445,0.000268203,-0.007083103,0.008456209,6.92E-06,-0.002670435,0.002629234,0.002250329,0.001082546,-0.009263933,-0.005897044,0.00100165,-0.003116158,0.001662036,-0.007741735,0.003254653,-0.002500746,-0.007868831,-0.0031673,-0.004404724,0.00177123,-0.010254101,0.012928814,-0.012833094,-0.001452956,0.002027968,-0.00191058,0.006875908,0.002785999,0.00020033,0.006330276,-0.003271448,-0.01188874,0.007541315,0.004018744,0.003750308,-0.000261511,-0.003511578,0.000267042,0.008697617,-0.0019963,0.006467545,0.005707561,-0.004779397,0.011092466,-0.002102795,0.00352252,0.00250236,0.000590915,0.003198847,0.002131575,-0.000891244,0.003349459,0.000699658,0.002114636,0.00172803,0.004305201,-0.002295426,0.004633165,0.006151653,-0.014184997,0.004886365,-0.001125701,0.006860048,-0.011356829,-0.003397139,-0.006462019,-0.005668953,-0.012913178,-0.00271647,-0.000368897,0.00098845,0.000887263,0.00577875,-0.006088458,0.003712338,0.00512536,0.007016118,0.006964678,0.001249421,0.002169066,-0.007740693,0.009402714,0.015190059,-0.001868123,-0.005601105,0.003751957,-0.003373288,0.003876953,0.0038841,0.002353638,-0.00162205,0.001528711,0.00523416,-0.005269394,0.004790342,0.000252999,-0.004647708,-0.003863895,-0.000147931,-0.00598709,-0.000719203,-0.000694874,-0.001269811,0.005786953,-0.002091066,-0.000197721,0.00087339,-0.008788939,-0.002305977,0.001008803,0.004211893,0.005427773,0.009439384,-0.001353295,-0.002622273,0.004452926,-0.005133693,0.009622143,-0.006906805,-0.003407772,0.001174772,0.008247137,0.004496054,0.004325644,0.002713291,-0.000626723,0.004241005,-0.001443219,0.007629841,0.004763267,0.001152552,-0.007427106,0.001788671,-0.002988496,0.009491645,-0.006756024,-0.012656984,0.005334916,0.000795527,-0.000540168,0.002066185,0.001494586
